MS4647A
!7/22/2011.3:43:55.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: FULL.TWO.PORT.CAL.PORT.1.2
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       ,TRACE.1           ,TRACE.2           ,TRACE.3           ,TRACE.4           
!PARAMETER:   ,S11               ,S12               ,S21               ,S22               
!PORT:        ,PORT1             ,PORT2             ,PORT1             ,PORT2             
!GRAPH:       ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      ,LOGMAG.PHASE      
!SMOOTHING:   ,OFF               ,OFF               ,OFF               ,OFF               
!TIMEDOMAIN:  ,OFF               ,OFF               ,OFF               ,OFF               
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT,FREQ1.GHZ,LOGMAG1,PHASE1.DEG,FREQ2.GHZ,LOGMAG2,PHASE2.DEG,FREQ3.GHZ,LOGMAG3,PHASE3.DEG,FREQ4.GHZ,LOGMAG4,PHASE4.DEG
31,12.465000000,-2.944101E+001,72.9574400,12.465000000,1.232069E-001,-5.8094560,12.465000000,1.274597E-001,-5.7580560,12.465000000,-3.041566E+001,134.9672000
32,12.480500000,-2.985156E+001,67.2780900,12.480500000,1.153246E-001,-5.7143090,12.480500000,1.184266E-001,-5.7203380,12.480500000,-3.171328E+001,139.2869000
33,12.496000000,-3.040180E+001,62.9752500,12.496000000,1.135774E-001,-5.6695650,12.496000000,1.178986E-001,-5.6369520,12.496000000,-3.303936E+001,142.5041000
34,12.511500000,-3.107462E+001,60.1099100,12.511500000,1.191615E-001,-5.6244240,12.511500000,1.222487E-001,-5.5976670,12.511500000,-3.455069E+001,146.8518000
35,12.527000000,-3.094834E+001,61.5120500,12.527000000,1.184966E-001,-5.5801180,12.527000000,1.311137E-001,-5.5466890,12.527000000,-3.619669E+001,150.1379000
36,12.542500000,-3.045849E+001,60.9792300,12.542500000,1.299572E-001,-5.5931080,12.542500000,1.342305E-001,-5.5394490,12.542500000,-3.800769E+001,155.6904000
37,12.558000000,-2.999400E+001,58.6365500,12.558000000,1.380793E-001,-5.5870990,12.558000000,1.431828E-001,-5.5606290,12.558000000,-4.058843E+001,162.6820000
38,12.573500000,-2.960193E+001,53.5495800,12.573500000,1.438149E-001,-5.6497540,12.573500000,1.473800E-001,-5.5755000,12.573500000,-4.394910E+001,175.5811000
39,12.589000000,-2.946054E+001,47.2246000,12.589000000,1.467114E-001,-5.6632250,12.589000000,1.506592E-001,-5.6517620,12.589000000,-4.766842E+001,-159.0315000
40,12.604500000,-2.963569E+001,38.9373100,12.604500000,1.457658E-001,-5.7190910,12.604500000,1.468275E-001,-5.7176730,12.604500000,-4.953097E+001,-106.2015000
41,12.620000000,-2.991307E+001,29.8111800,12.620000000,1.436010E-001,-5.7461350,12.620000000,1.454960E-001,-5.7426700,12.620000000,-4.606632E+001,-66.0316800
42,12.635500000,-3.059121E+001,20.0460900,12.635500000,1.360793E-001,-5.7526170,12.635500000,1.421372E-001,-5.7652300,12.635500000,-4.298199E+001,-43.5420400
43,12.651000000,-3.137959E+001,8.7063540,12.651000000,1.245428E-001,-5.7941070,12.651000000,1.362750E-001,-5.7986790,12.651000000,-4.054164E+001,-33.3892600
44,12.666500000,-3.255800E+001,-0.2482888,12.666500000,1.184235E-001,-5.7804060,12.666500000,1.262786E-001,-5.7298110,12.666500000,-3.881948E+001,-21.8889200
45,12.682000000,-3.382185E+001,-7.9649080,12.682000000,1.093630E-001,-5.7059040,12.682000000,1.173987E-001,-5.6856110,12.682000000,-3.771194E+001,-13.1756100
46,12.697500000,-3.487514E+001,-13.1727400,12.697500000,1.130579E-001,-5.6431710,12.697500000,1.146707E-001,-5.6332300,12.697500000,-3.657497E+001,-6.0735740
47,12.713000000,-3.520244E+001,-19.2279500,12.713000000,1.134462E-001,-5.6383690,12.713000000,1.142471E-001,-5.5980670,12.713000000,-3.589916E+001,-0.7856646
48,12.728500000,-3.500298E+001,-25.6804200,12.728500000,1.125216E-001,-5.5795000,12.728500000,1.227369E-001,-5.5803130,12.728500000,-3.524423E+001,2.7854280
49,12.744000000,-3.409377E+001,-34.7635500,12.744000000,1.267800E-001,-5.6209590,12.744000000,1.285355E-001,-5.5933750,12.744000000,-3.497429E+001,4.3704690
50,12.759500000,-3.323561E+001,-45.9597700,12.759500000,1.283183E-001,-5.6175100,12.759500000,1.348689E-001,-5.6593410,12.759500000,-3.468100E+001,4.3237750
51,12.775000000,-3.206769E+001,-58.6495400,12.775000000,1.357406E-001,-5.7574180,12.775000000,1.319118E-001,-5.7236340,12.775000000,-3.447102E+001,3.7741790
52,12.790500000,-3.102308E+001,-71.2642800,12.790500000,1.264431E-001,-5.7884000,12.790500000,1.318596E-001,-5.7735520,12.790500000,-3.453261E+001,0.2116723
53,12.806000000,-3.024912E+001,-82.2582200,12.806000000,1.202393E-001,-5.8828700,12.806000000,1.261962E-001,-5.8503790,12.806000000,-3.485189E+001,0.0251840
54,12.821500000,-2.991202E+001,-92.6416700,12.821500000,1.110695E-001,-5.8709820,12.821500000,1.184276E-001,-5.8601270,12.821500000,-3.510918E+001,3.2273230
55,12.837000000,-2.989005E+001,-101.7389000,12.837000000,1.053425E-001,-5.8911630,12.837000000,1.095124E-001,-5.8600470,12.837000000,-3.569772E+001,9.2101610
56,12.852500000,-2.978761E+001,-108.5226000,12.852500000,1.009446E-001,-5.8917910,12.852500000,1.053173E-001,-5.8584880,12.852500000,-3.664264E+001,14.0147500
57,12.868000000,-2.985415E+001,-112.7766000,12.868000000,9.364092E-002,-5.8428530,12.868000000,1.014630E-001,-5.8404360,12.868000000,-3.803987E+001,21.4322900
58,12.883500000,-2.988658E+001,-114.8316000,12.883500000,9.337693E-002,-5.7932280,12.883500000,9.979470E-002,-5.7797060,12.883500000,-3.985117E+001,34.0158500
59,12.899000000,-2.966630E+001,-114.8980000,12.899000000,9.795818E-002,-5.7555940,12.899000000,9.680041E-002,-5.7233180,12.899000000,-4.188357E+001,53.3787700
60,12.914500000,-2.900550E+001,-115.5769000,12.914500000,9.843446E-002,-5.7150410,12.914500000,1.005323E-001,-5.7008190,12.914500000,-4.319357E+001,80.2443300
61,12.930000000,-2.816621E+001,-117.8542000,12.930000000,1.014251E-001,-5.7079260,12.930000000,1.105103E-001,-5.6951170,12.930000000,-4.298690E+001,107.5286000
62,12.945500000,-2.738242E+001,-122.2414000,12.945500000,1.082072E-001,-5.7132770,12.945500000,1.108813E-001,-5.6959190,12.945500000,-4.170135E+001,129.1927000
63,12.961000000,-2.664032E+001,-127.5056000,12.961000000,1.095826E-001,-5.7766280,12.961000000,1.113748E-001,-5.7487000,12.961000000,-4.052399E+001,146.2781000
64,12.976500000,-2.636978E+001,-133.4943000,12.976500000,1.058069E-001,-5.8272070,12.976500000,1.142461E-001,-5.7605390,12.976500000,-3.938667E+001,158.7013000
65,12.992000000,-2.625261E+001,-138.8724000,12.992000000,1.028936E-001,-5.8317510,12.992000000,1.130785E-001,-5.8282230,12.992000000,-3.816983E+001,169.5807000
66,13.007500000,-2.621777E+001,-143.4657000,13.007500000,1.055977E-001,-5.9157060,13.007500000,1.102761E-001,-5.9038170,13.007500000,-3.679031E+001,179.5216000
67,13.023000000,-2.642903E+001,-148.3990000,13.023000000,1.001327E-001,-6.0205520,13.023000000,1.049989E-001,-5.9535320,13.023000000,-3.536784E+001,-175.7504000
68,13.038500000,-2.714865E+001,-152.7411000,13.038500000,8.188584E-002,-6.0185560,13.038500000,9.113468E-002,-6.0031380,13.038500000,-3.398560E+001,-170.6267000
69,13.054000000,-2.788475E+001,-154.6497000,13.054000000,7.352395E-002,-6.0418240,13.054000000,7.698244E-002,-5.9780990,13.054000000,-3.257426E+001,-166.1909000
70,13.069500000,-2.860931E+001,-154.6763000,13.069500000,6.631624E-002,-5.9996060,13.069500000,7.100404E-002,-5.9175670,13.069500000,-3.109862E+001,-163.0201000
71,13.085000000,-2.908709E+001,-153.5890000,13.085000000,5.564933E-002,-5.8632290,13.085000000,5.744404E-002,-5.8487000,13.085000000,-2.974072E+001,-160.1742000
72,13.100500000,-2.983438E+001,-156.7784000,13.100500000,5.936058E-002,-5.7359480,13.100500000,6.686024E-002,-5.6861150,13.100500000,-2.854702E+001,-157.4847000
73,13.116000000,-2.935721E+001,-157.7249000,13.116000000,6.798065E-002,-5.6668640,13.116000000,7.718182E-002,-5.6224040,13.116000000,-2.731484E+001,-155.4541000
74,13.131500000,-2.891255E+001,-159.3107000,13.131500000,8.500922E-002,-5.6284560,13.131500000,9.438922E-002,-5.5827990,13.131500000,-2.624807E+001,-153.9675000
75,13.147000000,-2.879111E+001,-162.7829000,13.147000000,9.025653E-002,-5.6414800,13.147000000,9.624648E-002,-5.6451340,13.147000000,-2.548656E+001,-153.3056000
76,13.162500000,-2.907421E+001,-168.0275000,13.162500000,9.101149E-002,-5.7322410,13.162500000,9.758158E-002,-5.6912130,13.162500000,-2.496650E+001,-152.1228000
77,13.178000000,-3.008085E+001,-174.7190000,13.178000000,8.505796E-002,-5.8082810,13.178000000,9.508218E-002,-5.7721900,13.178000000,-2.458698E+001,-150.8079000
78,13.193500000,-3.152863E+001,178.1327000,13.193500000,8.199050E-002,-5.8904200,13.193500000,8.470562E-002,-5.8181910,13.193500000,-2.439105E+001,-149.4003000
79,13.209000000,-3.335638E+001,172.2301000,13.209000000,6.945796E-002,-5.8830140,13.209000000,7.112220E-002,-5.8714320,13.209000000,-2.428708E+001,-147.6561000
80,13.224500000,-3.591404E+001,166.5407000,13.224500000,6.033589E-002,-5.9073220,13.224500000,5.991567E-002,-5.8989770,13.224500000,-2.424978E+001,-145.7438000
81,13.240000000,-3.841095E+001,163.6394000,13.240000000,4.671023E-002,-5.9073480,13.240000000,5.543619E-002,-5.9060940,13.240000000,-2.417433E+001,-143.4896000
82,13.255500000,-4.120623E+001,169.8105000,13.255500000,4.495207E-002,-5.8755250,13.255500000,5.085487E-002,-5.8466110,13.255500000,-2.413059E+001,-141.2203000
83,13.271000000,-4.281382E+001,177.5738000,13.271000000,4.726744E-002,-5.8410020,13.271000000,4.844566E-002,-5.8186740,13.271000000,-2.395396E+001,-139.1530000
84,13.286500000,-4.075850E+001,-153.8354000,13.286500000,4.661496E-002,-5.8509960,13.286500000,4.666515E-002,-5.7972530,13.286500000,-2.380483E+001,-137.5800000
85,13.302000000,-4.274212E+001,171.1510000,13.302000000,4.943929E-002,-5.8260450,13.302000000,5.071364E-002,-5.8011460,13.302000000,-2.360083E+001,-135.2930000
86,13.317500000,-4.346545E+001,136.5221000,13.317500000,4.814154E-002,-5.7914370,13.317500000,5.062204E-002,-5.7361270,13.317500000,-2.332396E+001,-133.2916000
87,13.333000000,-4.249320E+001,99.2961500,13.333000000,4.995982E-002,-5.7570120,13.333000000,5.315022E-002,-5.7204030,13.333000000,-2.313414E+001,-131.9766000
88,13.348500000,-3.873639E+001,63.6756100,13.348500000,5.881666E-002,-5.7850600,13.348500000,6.006221E-002,-5.7427360,13.348500000,-2.295971E+001,-130.7265000
89,13.364000000,-3.722823E+001,36.4044200,13.364000000,6.101133E-002,-5.7764890,13.364000000,6.962916E-002,-5.7569790,13.364000000,-2.285273E+001,-129.4146000
